Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Ashton,3376.431225,203,575,35.3%,174268,0.019374935,16.63266613,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Ashton,3975.755775,204,575,35.5%,174268,0.022814032,19.4889989,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Ashton,4124.026437,204,575,35.5%,174268,0.023664852,20.21581587,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Ashton,3001.34102,204,575,35.5%,174268,0.01722256,14.71245598,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Ashton,2609.707369,204,575,35.5%,174268,0.014975253,12.79268318,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Ashton,2507.787604,204,575,35.5%,174268,0.014390408,12.29307649,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Ashton,2361.02758,204,575,35.5%,174268,0.013548257,11.57366461,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Ashton,2488.48586,223,575,38.8%,174268,0.014279649,11.15912942,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Ashton,2543.836015,223,575,38.8%,174268,0.014597264,11.40733639,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Ashton,2947.334779,223,575,38.8%,174268,0.016912656,13.21674789,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Ashton,3321.732903,223,575,38.8%,174268,0.019061061,14.89566324,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Ashton,3227.515411,214,575,37.2%,174268,0.018520413,15.08184771,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Ashton,3077.866397,214,575,37.2%,174268,0.017661684,14.38255326,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Ashton,2930.519785,214,575,37.2%,174268,0.016816167,13.69401769,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Ashton,3044.317688,219,575,38.1%,174268,0.017469172,13.90099401,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Ashton,3390.150767,219,575,38.1%,174268,0.019453662,15.48014049,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Ashton,4038.015682,219,575,38.1%,174268,0.023171298,18.43842777,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Ashton,4127.311564,219,575,38.1%,174268,0.023683703,18.84617152,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Ashton,4026.516157,209,575,36.3%,174268,0.02310531,19.26562755,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Ashton,4215.516463,209,575,36.3%,174268,0.024189848,20.16993523,87.4,64.81,88.4,40.11,76.105,64.255
Summer,05/31/14,Ashton,4076.489516,209,575,36.3%,174268,0.023392071,19.50473453,86.2,62.43,67.43,23.86,74.315,45.645
Summer,06/01/14,Ashton,4238.811284,196,575,34.1%,174268,0.024323521,21.62658818,87.5,60.58,91.7,40.64,74.04,66.17
Summer,06/02/14,Ashton,4175.917243,196,575,34.1%,174268,0.023962616,21.30570022,76.5,65.88,93.7,71.4,71.19,82.55
Summer,06/03/14,Ashton,4403.252044,196,575,34.1%,174268,0.025267129,22.46557165,86.8,66.24,93.9,40.74,76.52,67.32
Summer,06/04/14,Ashton,4432.86268,196,575,34.1%,174268,0.025437043,22.61664633,82.5,63.43,94.1,54.11,72.965,74.105
Summer,06/05/14,Ashton,3887.731948,196,575,34.1%,174268,0.022308926,19.83536708,77.7,57.78,86.7,31.88,67.74,59.29
Summer,06/06/14,Ashton,3839.324088,196,575,34.1%,174268,0.022031148,19.5883882,81.7,56.29,85,30.92,68.995,57.96
Summer,06/07/14,Ashton,3905.346189,196,575,34.1%,174268,0.022410002,19.92523566,83,57.43,80.7,27.24,70.215,53.97
Summer,06/08/14,Ashton,4131.451404,238,575,41.4%,174268,0.023707459,17.35903951,76.2,60.52,93.5,48.64,68.36,71.07
Summer,06/09/14,Ashton,3972.111447,238,575,41.4%,174268,0.02279312,16.68954389,75.3,61.47,87.2,45.9,68.385,66.55
Summer,06/10/14,Ashton,3780.760592,238,575,41.4%,174268,0.021695094,15.88554871,74.3,61.89,92.9,74.6,68.095,83.75
Summer,06/11/14,Ashton,3842.216733,238,575,41.4%,174268,0.022047747,16.14376779,76.7,63.56,94.3,64.69,70.13,79.495
Summer,06/12/14,Ashton,4055.833361,238,575,41.4%,174268,0.023273541,17.04131664,80.8,63.03,90.3,47.05,71.915,68.675
Summer,06/13/14,Ashton,3950.460541,238,575,41.4%,174268,0.022668881,16.5985737,77.7,58.01,85.5,26.01,67.855,55.755
Summer,06/14/14,Ashton,3609.876202,238,575,41.4%,174268,0.02071451,15.16754707,77.3,50.27,73.1,27.51,63.785,50.305
Summer,06/15/14,Ashton,4004.269394,242,575,42.1%,174268,0.022977652,16.54656774,85.9,54.57,83,36.89,70.235,59.945
Summer,06/16/14,Ashton,4537.316469,241,575,41.9%,174268,0.026036429,18.82703929,86.7,67.77,91,52.52,77.235,71.76
Summer,06/17/14,Ashton,5086.148887,241,575,41.9%,174268,0.029185788,21.10435223,90.3,69.05,86.7,46.05,79.675,66.375
Summer,06/18/14,Ashton,5500.932416,241,575,41.9%,174268,0.031565935,22.82544571,90.4,70.8,89.1,45.92,80.6,67.51
Summer,06/19/14,Ashton,6099.561133,241,575,41.9%,174268,0.035001039,25.3093823,90.6,71.3,89.8,44.63,80.95,67.215
Summer,06/20/14,Ashton,6039.787616,241,575,41.9%,174268,0.034658042,25.0613594,87,71,89.8,53.72,79,71.76
Summer,06/21/14,Ashton,5813.815788,241,575,41.9%,174268,0.03336135,24.12371696,89,67.91,93.2,37.09,78.455,65.145
Summer,06/22/14,Ashton,5966.145648,285,575,49.6%,174268,0.034235463,20.93384438,89,70.1,85.2,40.74,79.55,62.97
Summer,06/23/14,Ashton,5828.985257,285,575,49.6%,174268,0.033448397,20.45257985,89.5,69.05,92.7,44.29,79.275,68.495
Summer,06/24/14,Ashton,5247.146291,285,575,49.6%,174268,0.030109637,18.41103962,81.6,68.39,92.5,62.45,74.995,77.475
Summer,06/25/14,Ashton,5331.497565,285,575,49.6%,174268,0.030593669,18.707009,87.1,67.26,93.3,36.99,77.18,65.145
Summer,06/26/14,Ashton,5358.174901,285,575,49.6%,174268,0.030746752,18.80061369,88.3,66.6,87.9,36.93,77.45,62.415
Summer,06/27/14,Ashton,5311.057599,285,575,49.6%,174268,0.030476379,18.63528982,88.2,67.14,91.4,42.77,77.67,67.085
Summer,06/28/14,Ashton,5334.789238,285,575,49.6%,174268,0.030612558,18.71855873,84.2,68.75,93.2,59.13,76.475,76.165
Summer,06/29/14,Ashton,5422.253545,253,575,44.0%,174268,0.031114453,21.43183219,81.6,69.64,91.3,62.41,75.62,76.855
Summer,06/30/14,Ashton,5423.264278,253,575,44.0%,174268,0.031120253,21.43582719,88,68.01,92,59.65,78.005,75.825
Summer,07/01/14,Ashton,5696.983643,253,575,44.0%,174268,0.032690934,22.51772191,89,66.85,91.5,44.66,77.925,68.08
Summer,07/02/14,Ashton,5365.58652,253,575,44.0%,174268,0.030789282,21.20785186,82.6,64.58,92.7,41.84,73.59,67.27
Summer,07/03/14,Ashton,4525.356606,253,575,44.0%,174268,0.0259678,17.88678501,73,58.8,88.8,46.43,65.9,67.615
Summer,07/04/14,Ashton,4160.990694,253,575,44.0%,174268,0.023876964,16.44660353,79.7,55.77,90.9,30.39,67.735,60.645
Summer,07/05/14,Ashton,4321.20231,249,575,43.3%,174268,0.024796304,17.35422614,81.2,56,84.4,30.82,68.6,57.61
Summer,07/06/14,Ashton,4905.315766,242,575,42.1%,174268,0.028148115,20.26989986,84.7,64.22,83.5,42.34,74.46,62.92
Summer,07/07/14,Ashton,5096.264993,242,575,42.1%,174268,0.029243837,21.05894625,82.2,67.73,92.7,57.46,74.965,75.08
Summer,07/08/14,Ashton,5111.142543,242,575,42.1%,174268,0.029329209,21.12042373,83.3,68.09,93.5,46.98,75.695,70.24
Summer,07/09/14,Ashton,4807.217154,242,575,42.1%,174268,0.027585197,19.86453369,82.4,63.03,90,39.25,72.715,64.625
Summer,07/10/14,Ashton,4609.44893,238,575,41.4%,174268,0.026450346,19.36743248,81,60.89,86.7,34.74,70.945,60.72
Summer,07/11/14,Ashton,4570.520863,238,575,41.4%,174268,0.026226966,19.20386917,84.8,58.62,84.4,34.31,71.71,59.355
Summer,07/12/14,Ashton,4875.134099,238,575,41.4%,174268,0.027974924,20.48375672,82,67.68,86.9,59.44,74.84,73.17
Summer,07/13/14,Ashton,5461.127903,236,575,41.0%,174268,0.031337526,23.14037247,89.8,72.5,87.6,50.07,81.15,68.835
Summer,07/14/14,Ashton,5577.878876,236,575,41.0%,174268,0.032007476,23.63507998,85.5,66.11,94,47.74,75.805,70.87
Summer,07/15/14,Ashton,5148.863958,236,575,41.0%,174268,0.029545665,21.81722016,72.4,57.19,92.6,43.61,64.795,68.105
Summer,07/16/14,Ashton,4693.07096,236,575,41.0%,174268,0.026930193,19.8858939,73.8,54.75,87,39.42,64.275,63.21
Summer,07/17/14,Ashton,4471.936386,236,575,41.0%,174268,0.02566126,18.94888299,77.7,53.38,91.8,32.78,65.54,62.29
Summer,07/18/14,Ashton,3979.655689,236,575,41.0%,174268,0.022836411,16.86294783,79.6,57.13,81.3,38.29,68.365,59.795
Summer,07/19/14,Ashton,3844.961369,236,575,41.0%,174268,0.022063496,16.29220919,75.2,55.69,93,56.78,65.445,74.89
Summer,07/20/14,Ashton,4228.573697,231,575,40.2%,174268,0.024264774,18.30551384,83,59.68,91.7,40.41,71.34,66.055
Summer,07/21/14,Ashton,4410.814307,231,575,40.2%,174268,0.025310523,19.09443423,86.3,62.55,89.6,34.31,74.425,61.955
Summer,07/22/14,Ashton,4843.377749,231,575,40.2%,174268,0.027792697,20.96700324,89.6,65.17,90.2,36.62,77.385,63.41
Summer,07/23/14,Ashton,4798.972114,231,575,40.2%,174268,0.027537885,20.77477105,79.6,64.15,92,65.53,71.875,78.765
Summer,07/24/14,Ashton,4155.276031,231,575,40.2%,174268,0.023844171,17.98820793,77.4,58.19,91.3,37.92,67.795,64.61
Summer,07/25/14,Ashton,3979.446688,231,575,40.2%,174268,0.022835212,17.22704194,76.3,54.38,91,41.07,65.34,66.035
Summer,07/26/14,Ashton,4557.082979,231,575,40.2%,174268,0.026149855,19.72763194,87.1,66.06,92.5,59.75,76.58,76.125
Summer,07/27/14,Ashton,4691.810101,231,575,40.2%,174268,0.026922958,20.31086624,86.3,67.42,94.3,45.35,76.86,69.825
Summer,07/28/14,Ashton,4021.01252,231,575,40.2%,174268,0.023073729,17.40698061,75.4,56.99,84.5,46.22,66.195,65.36
Summer,07/29/14,Ashton,3686.828432,231,575,40.2%,174268,0.021156084,15.96029624,76.3,53.72,83,43.56,65.01,63.28
Summer,07/30/14,Ashton,3991.918555,231,575,40.2%,174268,0.022906779,17.28103271,80,58.19,88.5,42.4,69.095,65.45
Summer,07/31/14,Ashton,4288.836805,231,575,40.2%,174268,0.024610581,18.56639309,83.2,59.86,92.9,35.4,71.53,64.15
Summer,08/01/14,Ashton,4305.838914,231,575,40.2%,174268,0.024708144,18.6399953,83.6,61.41,92.7,37.69,72.505,65.195
Summer,08/02/14,Ashton,3952.787238,231,575,40.2%,174268,0.022682232,17.11163306,82.4,62.24,87.8,42.96,72.32,65.38
Summer,08/03/14,Ashton,3829.136425,69,575,12.0%,174268,0.021972688,55.49473079,85.3,60.94,90.6,30.95,73.12,60.775
Summer,08/04/14,Ashton,4291.642745,69,575,12.0%,174268,0.024626683,62.19772094,85.8,60.52,91.5,32.18,73.16,61.84
Summer,08/05/14,Ashton,4309.165371,69,575,12.0%,174268,0.024727233,62.45167205,84,62.43,92.6,47.84,73.215,70.22
Summer,08/06/14,Ashton,4389.928781,69,575,12.0%,174268,0.025190676,63.62215624,80.7,65.16,94.2,57.43,72.93,75.815
Summer,08/07/14,Ashton,4052.756487,69,575,12.0%,174268,0.023255885,58.73560126,78.7,64.92,90.9,51.23,71.81,71.065
Summer,08/08/14,Ashton,3736.766709,69,575,12.0%,174268,0.021442644,54.15603926,70.1,62.84,92.5,66.51,66.47,79.505
Summer,08/09/14,Ashton,3490.767551,69,575,12.0%,174268,0.02003103,50.59083408,79.8,65.28,92.3,69.24,72.54,80.77
Summer,08/10/14,Ashton,3547.136654,0,575,0.0%,174268,0.020354492,null,78.1,69.27,92.9,79.3,73.685,86.1
Summer,08/11/14,Ashton,3703.919491,0,575,0.0%,174268,0.021254157,null,80.6,68.73,94.4,64.66,74.665,79.53
Summer,08/12/14,Ashton,3383.506934,0,575,0.0%,174268,0.019415538,null,75.7,61.17,92.1,45.22,68.435,68.66
Summer,08/13/14,Ashton,3369.353602,0,575,0.0%,174268,0.019334322,null,80.4,56.29,93.5,32.74,68.345,63.12
Summer,08/14/14,Ashton,3591.526627,0,575,0.0%,174268,0.020609215,null,82.2,63.15,79.2,44.06,72.675,61.63
Summer,08/15/14,Ashton,3459.535544,0,575,0.0%,174268,0.019851812,null,76.1,52.36,88.5,17.52,64.23,53.01
Summer,08/16/14,Ashton,3474.60061,0,575,0.0%,174268,0.01993826,null,77.9,59.56,84.9,64.13,68.73,74.515
