Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Briscoe Quad,4972.850609,6,709,0.8%,290215,0.017135057,828.8084349,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Briscoe Quad,4786.607802,6,709,0.8%,290215,0.016493316,797.7679669,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Briscoe Quad,4390.305211,6,709,0.8%,290215,0.015127768,731.7175352,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Briscoe Quad,3961.137537,6,709,0.8%,290215,0.013648976,660.1895895,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Briscoe Quad,3745.487333,6,709,0.8%,290215,0.012905905,624.2478889,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Briscoe Quad,3610.915729,6,709,0.8%,290215,0.012442209,601.8192882,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Briscoe Quad,3386.674639,6,709,0.8%,290215,0.011669537,564.4457732,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Briscoe Quad,3401.323816,6,709,0.8%,290215,0.011720014,566.8873027,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Briscoe Quad,3752.085605,6,709,0.8%,290215,0.012928641,625.3476009,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Briscoe Quad,3919.200556,6,709,0.8%,290215,0.013504473,653.2000927,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Briscoe Quad,4374.658689,6,709,0.8%,290215,0.015073855,729.1097815,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Briscoe Quad,5781.883088,6,709,0.8%,290215,0.019922758,963.6471814,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Briscoe Quad,5639.571524,6,709,0.8%,290215,0.019432392,939.9285873,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Briscoe Quad,5297.374659,6,709,0.8%,290215,0.018253277,882.8957764,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Briscoe Quad,5291.967144,6,709,0.8%,290215,0.018234644,881.9945241,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Briscoe Quad,5430.738621,6,709,0.8%,290215,0.018712812,905.1231036,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Briscoe Quad,5573.520226,6,709,0.8%,290215,0.019204797,928.9200376,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Briscoe Quad,5230.879636,6,709,0.8%,290215,0.018024153,871.8132727,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Briscoe Quad,5471.857638,6,709,0.8%,290215,0.018854496,911.976273,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Briscoe Quad,5421.134819,6,709,0.8%,290215,0.01867972,903.5224699,87.4,64.81,88.4,40.11,76.105,64.255
