Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Forest Quad,5469.974652,9,1046,0.9%,289014,0.018926331,607.7749614,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Forest Quad,5794.646437,9,1046,0.9%,289014,0.020049708,643.8496042,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Forest Quad,5671.24933,9,1046,0.9%,289014,0.01962275,630.1388144,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Forest Quad,5547.961271,9,1046,0.9%,289014,0.019196168,616.4401412,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Forest Quad,5373.305976,9,1046,0.9%,289014,0.018591854,597.0339973,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Forest Quad,5547.940649,9,1046,0.9%,289014,0.019196097,616.4378499,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Forest Quad,5192.080748,9,1046,0.9%,289014,0.017964807,576.8978608,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Forest Quad,5014.197529,9,1046,0.9%,289014,0.017349324,557.1330588,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Forest Quad,5426.654932,9,1046,0.9%,289014,0.018776443,602.9616591,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Forest Quad,5582.892066,9,1046,0.9%,289014,0.01931703,620.3213407,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Forest Quad,5441.718915,9,1046,0.9%,289014,0.018828565,604.6354349,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Forest Quad,5581.604211,9,1046,0.9%,289014,0.019312574,620.1782457,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Forest Quad,5481.845826,9,1046,0.9%,289014,0.018967406,609.0939807,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Forest Quad,5130.170721,9,1046,0.9%,289014,0.017750596,570.018969,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Forest Quad,5134.122538,9,1046,0.9%,289014,0.017764269,570.4580597,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Forest Quad,5179.135705,9,1046,0.9%,289014,0.017920017,575.4595228,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Forest Quad,5626.175761,9,1046,0.9%,289014,0.019466793,625.1306401,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Forest Quad,5625.86959,9,1046,0.9%,289014,0.019465734,625.0966211,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Forest Quad,5690.230016,9,1046,0.9%,289014,0.019688423,632.2477796,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Forest Quad,5618.449575,9,1046,0.9%,289014,0.01944006,624.272175,87.4,64.81,88.4,40.11,76.105,64.255
Summer,05/31/14,Forest Quad,5379.50969,9,1046,0.9%,289014,0.018613319,597.7232989,86.2,62.43,67.43,23.86,74.315,45.645
Summer,06/01/14,Forest Quad,5306.854938,9,1046,0.9%,289014,0.01836193,589.6505487,87.5,60.58,91.7,40.64,74.04,66.17
Summer,06/02/14,Forest Quad,5517.211199,9,1046,0.9%,289014,0.019089771,613.0234665,76.5,65.88,93.7,71.4,71.19,82.55
Summer,06/03/14,Forest Quad,5812.440875,9,1046,0.9%,289014,0.020111278,645.8267638,86.8,66.24,93.9,40.74,76.52,67.32
Summer,06/04/14,Forest Quad,5765.551804,9,1046,0.9%,289014,0.01994904,640.6168671,82.5,63.43,94.1,54.11,72.965,74.105
Summer,06/05/14,Forest Quad,6016.110548,9,1046,0.9%,289014,0.020815983,668.4567275,77.7,57.78,86.7,31.88,67.74,59.29
Summer,06/06/14,Forest Quad,6011.925908,9,1046,0.9%,289014,0.020801504,667.9917675,81.7,56.29,85,30.92,68.995,57.96
Summer,06/07/14,Forest Quad,5544.283551,9,1046,0.9%,289014,0.019183443,616.0315056,83,57.43,80.7,27.24,70.215,53.97
Summer,06/08/14,Forest Quad,5345.304342,9,1046,0.9%,289014,0.018494967,593.9227046,76.2,60.52,93.5,48.64,68.36,71.07
Summer,06/09/14,Forest Quad,6718.543041,9,1046,0.9%,289014,0.023246428,746.5047824,75.3,61.47,87.2,45.9,68.385,66.55
Summer,06/10/14,Forest Quad,6792.084378,9,1046,0.9%,289014,0.023500884,754.6760421,74.3,61.89,92.9,74.6,68.095,83.75
