Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Foster,4478,7,1209,0.6%,262173,0.017080325,639.7142857,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Foster,4714,7,1209,0.6%,262173,0.017980494,673.4285714,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Foster,4613,7,1209,0.6%,262173,0.017595252,659,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Foster,3988,7,1209,0.6%,262173,0.01521133,569.7142857,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Foster,3723,7,1209,0.6%,262173,0.014200547,531.8571429,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Foster,3589,7,1209,0.6%,262173,0.013689434,512.7142857,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Foster,3554,7,1209,0.6%,262173,0.013555934,507.7142857,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Foster,3644,7,1209,0.6%,262173,0.013899219,520.5714286,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Foster,3899,7,1209,0.6%,262173,0.014871859,557,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Foster,4221,7,1209,0.6%,262173,0.016100056,603,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Foster,4402,7,1209,0.6%,262173,0.01679044,628.8571429,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Foster,4400,7,1209,0.6%,262173,0.016782811,628.5714286,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Foster,4147,7,1209,0.6%,262173,0.0158178,592.4285714,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Foster,4074,7,1209,0.6%,262173,0.015539358,582,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Foster,4109,7,1209,0.6%,262173,0.015672857,587,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Foster,4351,7,1209,0.6%,262173,0.016595912,621.5714286,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Foster,4634,7,1209,0.6%,262173,0.017675352,662,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Foster,4515,7,1209,0.6%,262173,0.017221453,645,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Foster,4608,7,1209,0.6%,262173,0.017576181,658.2857143,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Foster,4550,7,1209,0.6%,262173,0.017354953,650,87.4,64.81,88.4,40.11,76.105,64.255
Summer,05/31/14,Foster,4302,7,1209,0.6%,262173,0.016409012,614.5714286,86.2,62.43,67.43,23.86,74.315,45.645
Summer,06/01/14,Foster,4461,96,1209,7.9%,262173,0.017015482,46.46875,87.5,60.58,91.7,40.64,74.04,66.17
Summer,06/02/14,Foster,4591,97,1209,8.0%,262173,0.017511338,47.32989691,76.5,65.88,93.7,71.4,71.19,82.55
Summer,06/03/14,Foster,4778,95,1209,7.9%,262173,0.018224607,50.29473684,86.8,66.24,93.9,40.74,76.52,67.32
Summer,06/04/14,Foster,4669,95,1209,7.9%,262173,0.017808851,49.14736842,82.5,63.43,94.1,54.11,72.965,74.105
Summer,06/05/14,Foster,4265,95,1209,7.9%,262173,0.016267884,44.89473684,77.7,57.78,86.7,31.88,67.74,59.29
Summer,06/06/14,Foster,4348,95,1209,7.9%,262173,0.016584469,45.76842105,81.7,56.29,85,30.92,68.995,57.96
Summer,06/07/14,Foster,4349,7,1209,0.6%,262173,0.016588283,621.2857143,83,57.43,80.7,27.24,70.215,53.97
Summer,06/08/14,Foster,4528,152,1209,12.6%,262173,0.017271039,29.78947368,76.2,60.52,93.5,48.64,68.36,71.07
Summer,06/09/14,Foster,4479,152,1209,12.6%,262173,0.017084139,29.46710526,75.3,61.47,87.2,45.9,68.385,66.55
Summer,06/10/14,Foster,4584,152,1209,12.6%,262173,0.017484638,30.15789474,74.3,61.89,92.9,74.6,68.095,83.75
Summer,06/11/14,Foster,4638,152,1209,12.6%,262173,0.017690609,30.51315789,76.7,63.56,94.3,64.69,70.13,79.495
Summer,06/12/14,Foster,4583,152,1209,12.6%,262173,0.017480824,30.15131579,80.8,63.03,90.3,47.05,71.915,68.675
Summer,06/13/14,Foster,4437,152,1209,12.6%,262173,0.01692394,29.19078947,77.7,58.01,85.5,26.01,67.855,55.755
Summer,06/14/14,Foster,4191,7,1209,0.6%,262173,0.015985628,598.7142857,77.3,50.27,73.1,27.51,63.785,50.305
Summer,06/15/14,Foster,4442,132,1209,10.9%,262173,0.016943011,33.65151515,85.9,54.57,83,36.89,70.235,59.945
Summer,06/16/14,Foster,4876,132,1209,10.9%,262173,0.018598406,36.93939394,86.7,67.77,91,52.52,77.235,71.76
Summer,06/17/14,Foster,5278,135,1209,11.2%,262173,0.020131745,39.0962963,90.3,69.05,86.7,46.05,79.675,66.375
Summer,06/18/14,Foster,5716,659,1209,54.5%,262173,0.021802398,8.673748103,90.4,70.8,89.1,45.92,80.6,67.51
Summer,06/19/14,Foster,5938,619,1209,51.2%,262173,0.022649167,9.592891761,90.6,71.3,89.8,44.63,80.95,67.215
Summer,06/20/14,Foster,5817,619,1209,51.2%,262173,0.022187639,9.397415186,87,71,89.8,53.72,79,71.76
Summer,06/21/14,Foster,5748,532,1209,44.0%,262173,0.021924454,10.80451128,89,67.91,93.2,37.09,78.455,65.145
Summer,06/22/14,Foster,5677,715,1209,59.1%,262173,0.021653641,7.93986014,89,70.1,85.2,40.74,79.55,62.97
Summer,06/23/14,Foster,5547,194,1209,16.0%,262173,0.021157785,28.59278351,89.5,69.05,92.7,44.29,79.275,68.495
Summer,06/24/14,Foster,5393,200,1209,16.5%,262173,0.020570387,26.965,81.6,68.39,92.5,62.45,74.995,77.475
Summer,06/25/14,Foster,5731,742,1209,61.4%,262173,0.021859612,7.723719677,87.1,67.26,93.3,36.99,77.18,65.145
Summer,06/26/14,Foster,5797,740,1209,61.2%,262173,0.022111354,7.833783784,88.3,66.6,87.9,36.93,77.45,62.415
Summer,06/27/14,Foster,5770,659,1209,54.5%,262173,0.022008369,8.75569044,88.2,67.14,91.4,42.77,77.67,67.085
Summer,06/28/14,Foster,5793,552,1209,45.7%,262173,0.022096097,10.49456522,84.2,68.75,93.2,59.13,76.475,76.165
Summer,06/29/14,Foster,5601,540,1209,44.7%,262173,0.021363756,10.37222222,81.6,69.64,91.3,62.41,75.62,76.855
Summer,06/30/14,Foster,5578,7,1209,0.6%,262173,0.021276028,796.8571429,88,68.01,92,59.65,78.005,75.825
Summer,07/01/14,Foster,5106,7,1209,0.6%,262173,0.01947569,729.4285714,89,66.85,91.5,44.66,77.925,68.08
Summer,07/02/14,Foster,4960,7,1209,0.6%,262173,0.018918806,708.5714286,82.6,64.58,92.7,41.84,73.59,67.27
