Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,McNutt Quad,9444.4,7,1341,0.5%,360322,0.026211,1349.2,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,McNutt Quad,9043.28,7,1341,0.5%,360322,0.025097774,1291.897143,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,McNutt Quad,8045.36,7,1341,0.5%,360322,0.022328251,1149.337143,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,McNutt Quad,8467.76,7,1341,0.5%,360322,0.023500536,1209.68,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,McNutt Quad,8158.96,7,1341,0.5%,360322,0.022643524,1165.565714,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,McNutt Quad,8249.84,7,1341,0.5%,360322,0.022895743,1178.548571,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,McNutt Quad,7742.16,7,1341,0.5%,360322,0.021486781,1106.022857,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,McNutt Quad,7781.28,7,1341,0.5%,360322,0.021595351,1111.611429,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,McNutt Quad,8273.28,7,1341,0.5%,360322,0.022960796,1181.897143,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,McNutt Quad,8160,7,1341,0.5%,360322,0.022646411,1165.714286,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,McNutt Quad,8309.28,7,1341,0.5%,360322,0.023060707,1187.04,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,McNutt Quad,9954.4,7,1341,0.5%,360322,0.027626401,1422.057143,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,McNutt Quad,9605.04,7,1341,0.5%,360322,0.026656824,1372.148571,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,McNutt Quad,9059.84,7,1341,0.5%,360322,0.025143733,1294.262857,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,McNutt Quad,9038.48,7,1341,0.5%,360322,0.025084452,1291.211429,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,McNutt Quad,8913.2,7,1341,0.5%,360322,0.024736763,1273.314286,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,McNutt Quad,9796.72,7,1341,0.5%,360322,0.027188792,1399.531429,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,McNutt Quad,9945.68,7,1341,0.5%,360322,0.0276022,1420.811429,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,McNutt Quad,10032.4,7,1341,0.5%,360322,0.027842874,1433.2,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,McNutt Quad,9901.2,7,1341,0.5%,360322,0.027478755,1414.457143,87.4,64.81,88.4,40.11,76.105,64.255
Summer,05/31/14,McNutt Quad,9489.84,7,1341,0.5%,360322,0.02633711,1355.691429,86.2,62.43,67.43,23.86,74.315,45.645
Summer,06/01/14,McNutt Quad,9294.96,7,1341,0.5%,360322,0.02579626,1327.851429,87.5,60.58,91.7,40.64,74.04,66.17
Summer,06/02/14,McNutt Quad,10054.48,7,1341,0.5%,360322,0.027904152,1436.354286,76.5,65.88,93.7,71.4,71.19,82.55
Summer,06/03/14,McNutt Quad,10230.72,7,1341,0.5%,360322,0.02839327,1461.531429,86.8,66.24,93.9,40.74,76.52,67.32
Summer,06/04/14,McNutt Quad,10481.52,7,1341,0.5%,360322,0.029089315,1497.36,82.5,63.43,94.1,54.11,72.965,74.105
Summer,06/05/14,McNutt Quad,10349.76,7,1341,0.5%,360322,0.028723642,1478.537143,77.7,57.78,86.7,31.88,67.74,59.29
Summer,06/06/14,McNutt Quad,10230.16,7,1341,0.5%,360322,0.028391716,1461.451429,81.7,56.29,85,30.92,68.995,57.96
Summer,06/07/14,McNutt Quad,9686.16,7,1341,0.5%,360322,0.026881956,1383.737143,83,57.43,80.7,27.24,70.215,53.97
Summer,06/08/14,McNutt Quad,9505.52,7,1341,0.5%,360322,0.026380626,1357.931429,76.2,60.52,93.5,48.64,68.36,71.07
Summer,06/09/14,McNutt Quad,10482.88,7,1341,0.5%,360322,0.029093089,1497.554286,75.3,61.47,87.2,45.9,68.385,66.55
Summer,06/10/14,McNutt Quad,10459.2,7,1341,0.5%,360322,0.02902737,1494.171429,74.3,61.89,92.9,74.6,68.095,83.75
Summer,06/11/14,McNutt Quad,10754.08,7,1341,0.5%,360322,0.029845749,1536.297143,76.7,63.56,94.3,64.69,70.13,79.495
Summer,06/12/14,McNutt Quad,10834.16,7,1341,0.5%,360322,0.030067995,1547.737143,80.8,63.03,90.3,47.05,71.915,68.675
Summer,06/13/14,McNutt Quad,10861.68,7,1341,0.5%,360322,0.030144371,1551.668571,77.7,58.01,85.5,26.01,67.855,55.755
Summer,06/14/14,McNutt Quad,10230.96,7,1341,0.5%,360322,0.028393937,1461.565714,77.3,50.27,73.1,27.51,63.785,50.305
Summer,06/15/14,McNutt Quad,10370.08,7,1341,0.5%,360322,0.028780036,1481.44,85.9,54.57,83,36.89,70.235,59.945
Summer,06/16/14,McNutt Quad,10474.24,417,1341,31.1%,360322,0.02906911,25.11808153,86.7,67.77,91,52.52,77.235,71.76
Summer,06/17/14,McNutt Quad,10769.12,418,1341,31.2%,360322,0.02988749,25.76344498,90.3,69.05,86.7,46.05,79.675,66.375
Summer,06/18/14,McNutt Quad,11107.36,418,1341,31.2%,360322,0.030826205,26.57263158,90.4,70.8,89.1,45.92,80.6,67.51
Summer,06/19/14,McNutt Quad,10871.76,77,1341,5.7%,360322,0.030172346,141.1916883,90.6,71.3,89.8,44.63,80.95,67.215
Summer,06/20/14,McNutt Quad,10869.04,8,1341,0.6%,360322,0.030164797,1358.63,87,71,89.8,53.72,79,71.76
