Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Rose Ave,1638.03276,4,442,0.9%,157445,0.010403841,409.5081899,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Rose Ave,1428.003656,4,442,0.9%,157445,0.009069857,357.0009141,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Rose Ave,1140.395319,4,442,0.9%,157445,0.007243135,285.0988297,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Rose Ave,1161.78226,4,442,0.9%,157445,0.007378972,290.445565,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Rose Ave,1083.173381,4,442,0.9%,157445,0.006879694,270.7933452,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Rose Ave,1096.826024,4,442,0.9%,157445,0.006966407,274.206506,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Rose Ave,1042.613113,4,442,0.9%,157445,0.006622078,260.6532784,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Rose Ave,1086.298548,4,442,0.9%,157445,0.006899543,271.5746369,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Rose Ave,1112.882838,4,442,0.9%,157445,0.007068391,278.2207096,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Rose Ave,1477.564881,4,442,0.9%,157445,0.009384642,369.3912203,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Rose Ave,1655.7225,4,442,0.9%,157445,0.010516196,413.930625,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Rose Ave,1672.59346,4,442,0.9%,157445,0.010623351,418.148365,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Rose Ave,1608.312176,6,442,1.4%,157445,0.010215073,268.0520293,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Rose Ave,1625.54678,6,442,1.4%,157445,0.010324537,270.9244633,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Rose Ave,1644.366468,6,442,1.4%,157445,0.010444069,274.0610781,79,58.08,80,30.49,68.54,55.245
