Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Teter Quad,5007.682035,4,1196,0.3%,300887,0.016643065,1251.920509,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Teter Quad,4662.798409,4,1196,0.3%,300887,0.015496842,1165.699602,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Teter Quad,4369.803741,4,1196,0.3%,300887,0.014523073,1092.450935,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Teter Quad,4690.762564,4,1196,0.3%,300887,0.015589781,1172.690641,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Teter Quad,4776.282055,4,1196,0.3%,300887,0.015874006,1194.070514,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Teter Quad,4759.180489,4,1196,0.3%,300887,0.015817169,1189.795122,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Teter Quad,4634.966473,4,1196,0.3%,300887,0.015404343,1158.741618,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Teter Quad,4535.492703,4,1196,0.3%,300887,0.015073741,1133.873176,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Teter Quad,4519.171301,4,1196,0.3%,300887,0.015019497,1129.792825,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Teter Quad,4392.484836,4,1196,0.3%,300887,0.014598453,1098.121209,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Teter Quad,4504.515152,4,1196,0.3%,300887,0.014970787,1126.128788,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Teter Quad,5227.260115,4,1196,0.3%,300887,0.017372835,1306.815029,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Teter Quad,5360.229116,6,1196,0.5%,300887,0.017814758,893.3715194,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Teter Quad,5314.309422,6,1196,0.5%,300887,0.017662144,885.7182369,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Teter Quad,5261.767122,6,1196,0.5%,300887,0.017487519,876.961187,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Teter Quad,5167.087346,4,1196,0.3%,300887,0.01717285,1291.771837,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Teter Quad,5431.482108,4,1196,0.3%,300887,0.018051568,1357.870527,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Teter Quad,5308.960615,4,1196,0.3%,300887,0.017644367,1327.240154,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Teter Quad,5253.172202,4,1196,0.3%,300887,0.017458954,1313.293051,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Teter Quad,5329.778071,4,1196,0.3%,300887,0.017713554,1332.444518,87.4,64.81,88.4,40.11,76.105,64.255
