Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Union Street Center,5193.638115,10,827,1.2%,430775,0.012056498,519.3638115,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Union Street Center,5395.876147,10,827,1.2%,430775,0.012525973,539.5876147,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Union Street Center,5755.679341,10,827,1.2%,430775,0.01336122,575.5679341,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Union Street Center,5269.677274,10,827,1.2%,430775,0.012233016,526.9677274,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Union Street Center,4575.555545,10,827,1.2%,430775,0.010621683,457.5555545,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Union Street Center,4592.528481,10,827,1.2%,430775,0.010661084,459.2528481,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Union Street Center,4592.695984,10,827,1.2%,430775,0.010661473,459.2695984,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Union Street Center,4559.91952,11,827,1.3%,430775,0.010585386,414.5381382,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Union Street Center,4698.582053,11,827,1.3%,430775,0.010907277,427.143823,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Union Street Center,5126.328598,11,827,1.3%,430775,0.011900246,466.0298726,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Union Street Center,5271.704144,11,827,1.3%,430775,0.012237721,479.2458312,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Union Street Center,4826.030519,11,827,1.3%,430775,0.011203135,438.7300472,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Union Street Center,5351.132027,11,827,1.3%,430775,0.012422104,486.4665479,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Union Street Center,5033.566389,11,827,1.3%,430775,0.011684908,457.5969444,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Union Street Center,5073.456535,11,827,1.3%,430775,0.011777509,461.2233214,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Union Street Center,5247.921112,11,827,1.3%,430775,0.012182511,477.0837375,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Union Street Center,5605.345778,11,827,1.3%,430775,0.013012236,509.576889,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Union Street Center,5738.853218,11,827,1.3%,430775,0.013322159,521.7139289,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Union Street Center,5542.921142,11,827,1.3%,430775,0.012867323,503.901922,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Union Street Center,5496.438669,11,827,1.3%,430775,0.012759419,499.6762426,87.4,64.81,88.4,40.11,76.105,64.255
Summer,05/31/14,Union Street Center,5210.514231,11,827,1.3%,430775,0.012095675,473.6831119,86.2,62.43,67.43,23.86,74.315,45.645
Summer,06/01/14,Union Street Center,5335.990508,11,827,1.3%,430775,0.012386955,485.0900462,87.5,60.58,91.7,40.64,74.04,66.17
Summer,06/02/14,Union Street Center,5443.57625,11,827,1.3%,430775,0.012636704,494.8705682,76.5,65.88,93.7,71.4,71.19,82.55
Summer,06/03/14,Union Street Center,5404.346086,11,827,1.3%,430775,0.012545635,491.3041896,86.8,66.24,93.9,40.74,76.52,67.32
Summer,06/04/14,Union Street Center,5448.077233,11,827,1.3%,430775,0.012647153,495.2797484,82.5,63.43,94.1,54.11,72.965,74.105
Summer,06/05/14,Union Street Center,5347.155337,11,827,1.3%,430775,0.012412873,486.1050306,77.7,57.78,86.7,31.88,67.74,59.29
Summer,06/06/14,Union Street Center,5326.415521,11,827,1.3%,430775,0.012364728,484.2195928,81.7,56.29,85,30.92,68.995,57.96
Summer,06/07/14,Union Street Center,4919.426027,11,827,1.3%,430775,0.011419943,447.2205479,83,57.43,80.7,27.24,70.215,53.97
Summer,06/08/14,Union Street Center,4939.717566,11,827,1.3%,430775,0.011467048,449.0652332,76.2,60.52,93.5,48.64,68.36,71.07
Summer,06/09/14,Union Street Center,5202.510831,11,827,1.3%,430775,0.012077096,472.9555301,75.3,61.47,87.2,45.9,68.385,66.55
Summer,06/10/14,Union Street Center,5286.537434,11,827,1.3%,430775,0.012272155,480.5943122,74.3,61.89,92.9,74.6,68.095,83.75
Summer,06/11/14,Union Street Center,5432.423514,11,827,1.3%,430775,0.012610814,493.8566831,76.7,63.56,94.3,64.69,70.13,79.495
Summer,06/12/14,Union Street Center,5617.623112,11,827,1.3%,430775,0.013040736,510.6930102,80.8,63.03,90.3,47.05,71.915,68.675
Summer,06/13/14,Union Street Center,5451.319901,11,827,1.3%,430775,0.01265468,495.5745365,77.7,58.01,85.5,26.01,67.855,55.755
Summer,06/14/14,Union Street Center,4689.059855,11,827,1.3%,430775,0.010885172,426.2781686,77.3,50.27,73.1,27.51,63.785,50.305
Summer,06/15/14,Union Street Center,4959.687162,12,827,1.5%,430775,0.011513405,413.3072635,85.9,54.57,83,36.89,70.235,59.945
Summer,06/16/14,Union Street Center,5630.3839,12,827,1.5%,430775,0.013070359,469.1986583,86.7,67.77,91,52.52,77.235,71.76
Summer,06/17/14,Union Street Center,5833.600873,12,827,1.5%,430775,0.013542106,486.133406,90.3,69.05,86.7,46.05,79.675,66.375
