Season,Date,Complex,Usage,Occupants,Max Beds,% Occupied,SqFt,Usage/SqFt,Usage/Occupant,[Maximum Air Temperature(°„F)],[Minimum Air Temperature(°„F)], [Maximum Relative Humidity(%)], [Minimum Relative Humidity(%)], [Avg  temp(°„F)], [Avg Humidity(%)]
Summer,05/11/14,Willkie,9100.242033,5,852,0.6%,325344,0.027971138,1820.048407,83.5,57.53,93.6,49.93,70.515,71.765
Summer,05/12/14,Willkie,8190.676948,5,852,0.6%,325344,0.025175436,1638.13539,82,65.64,92.3,55.47,73.82,73.885
Summer,05/13/14,Willkie,6451.670974,5,852,0.6%,325344,0.019830306,1290.334195,81.5,56.63,92.3,53.58,69.065,72.94
Summer,05/14/14,Willkie,5985.099107,5,852,0.6%,325344,0.018396218,1197.019821,60.75,51.57,93.9,83.9,56.16,88.9
Summer,05/15/14,Willkie,5457.388496,5,852,0.6%,325344,0.01677421,1091.477699,57.11,44,94.3,52.12,50.555,73.21
Summer,05/16/14,Willkie,5764.076336,9,852,1.1%,325344,0.017716867,640.4529262,55.98,44.19,93.5,45.29,50.085,69.395
Summer,05/17/14,Willkie,6116.008867,20,852,2.3%,325344,0.018798591,305.8004434,58.71,40.84,89.5,33.66,49.775,61.58
Summer,05/18/14,Willkie,6458.244699,52,852,6.1%,325344,0.019850511,124.1970135,67.99,37.39,92.5,26.48,52.69,59.49
Summer,05/19/14,Willkie,6968.777825,59,852,6.9%,325344,0.021419721,118.1148784,73.8,43.29,81,25.22,58.545,53.11
Summer,05/20/14,Willkie,8649.910208,53,852,6.2%,325344,0.026586967,163.205853,82.2,57.18,77.8,44.89,69.69,61.345
Summer,05/21/14,Willkie,9228.443659,53,852,6.2%,325344,0.028365188,174.1215785,85.3,63.79,92.5,49.5,74.545,71
Summer,05/22/14,Willkie,9198.253429,53,852,6.2%,325344,0.028272393,173.5519515,79.2,59.32,94.7,27.34,69.26,61.02
Summer,05/23/14,Willkie,8643.976936,52,852,6.1%,325344,0.02656873,166.2303257,76,55.63,82.6,30.33,65.815,56.465
Summer,05/24/14,Willkie,8557.546728,49,852,5.8%,325344,0.026303072,174.6438108,77.1,52.11,83,28.53,64.605,55.765
Summer,05/25/14,Willkie,8623.119537,42,852,4.9%,325344,0.026504621,205.3123699,79,58.08,80,30.49,68.54,55.245
Summer,05/26/14,Willkie,9115.78142,5,852,0.6%,325344,0.028018901,1823.156284,86.2,58.25,85.9,39.68,72.225,62.79
Summer,05/27/14,Willkie,9714.977356,5,852,0.6%,325344,0.029860632,1942.995471,85.7,65.4,90.2,38.25,75.55,64.225
Summer,05/28/14,Willkie,9799.081812,5,852,0.6%,325344,0.030119141,1959.816362,84.7,63.74,86,41.04,74.22,63.52
Summer,05/29/14,Willkie,9915.198225,7,852,0.8%,325344,0.030476045,1416.456889,83.9,64.45,91.5,46.48,74.175,68.99
Summer,05/30/14,Willkie,8440.817261,7,852,0.8%,325344,0.025944284,1205.831037,87.4,64.81,88.4,40.11,76.105,64.255
Summer,05/31/14,Willkie,7639.461814,7,852,0.8%,325344,0.023481182,1091.351688,86.2,62.43,67.43,23.86,74.315,45.645
Summer,06/01/14,Willkie,9212.982994,66,852,7.7%,325344,0.028317667,139.5906514,87.5,60.58,91.7,40.64,74.04,66.17
Summer,06/02/14,Willkie,9547.804807,70,852,8.2%,325344,0.029346798,136.3972115,76.5,65.88,93.7,71.4,71.19,82.55
Summer,06/03/14,Willkie,9379.206336,70,852,8.2%,325344,0.028828582,133.9886619,86.8,66.24,93.9,40.74,76.52,67.32
Summer,06/04/14,Willkie,12148.89391,81,852,9.5%,325344,0.037341687,149.9863445,82.5,63.43,94.1,54.11,72.965,74.105
Summer,06/05/14,Willkie,10848.88414,84,852,9.9%,325344,0.033345887,129.1533826,77.7,57.78,86.7,31.88,67.74,59.29
Summer,06/06/14,Willkie,10366.27351,82,852,9.6%,325344,0.031862501,126.4179696,81.7,56.29,85,30.92,68.995,57.96
Summer,06/07/14,Willkie,9938.769692,63,852,7.4%,325344,0.030548495,157.7582491,83,57.43,80.7,27.24,70.215,53.97
Summer,06/08/14,Willkie,10222.19066,124,852,14.6%,325344,0.031419638,82.43702145,76.2,60.52,93.5,48.64,68.36,71.07
Summer,06/09/14,Willkie,9811.547333,126,852,14.8%,325344,0.030157456,77.86942328,75.3,61.47,87.2,45.9,68.385,66.55
Summer,06/10/14,Willkie,10255.83409,122,852,14.3%,325344,0.031523047,84.06421382,74.3,61.89,92.9,74.6,68.095,83.75
Summer,06/11/14,Willkie,10420.53767,116,852,13.6%,325344,0.032029291,89.83222129,76.7,63.56,94.3,64.69,70.13,79.495
Summer,06/12/14,Willkie,10278.18915,116,852,13.6%,325344,0.031591759,88.60507885,80.8,63.03,90.3,47.05,71.915,68.675
Summer,06/13/14,Willkie,9928.434899,116,852,13.6%,325344,0.03051673,85.58995603,77.7,58.01,85.5,26.01,67.855,55.755
Summer,06/14/14,Willkie,9442.116103,126,852,14.8%,325344,0.029021946,74.93742939,77.3,50.27,73.1,27.51,63.785,50.305
Summer,06/15/14,Willkie,10323.90065,134,852,15.7%,325344,0.031732261,77.04403469,85.9,54.57,83,36.89,70.235,59.945
Summer,06/16/14,Willkie,11095.58644,157,852,18.4%,325344,0.034104168,70.67252508,86.7,67.77,91,52.52,77.235,71.76
Summer,06/17/14,Willkie,11131.81542,210,852,24.6%,325344,0.034215524,53.00864487,90.3,69.05,86.7,46.05,79.675,66.375
Summer,06/18/14,Willkie,11199.97468,221,852,25.9%,325344,0.034425023,50.67861846,90.4,70.8,89.1,45.92,80.6,67.51
Summer,06/19/14,Willkie,11262.9497,222,852,26.1%,325344,0.034618587,50.73400766,90.6,71.3,89.8,44.63,80.95,67.215
Summer,06/20/14,Willkie,11207.52627,223,852,26.2%,325344,0.034448234,50.25796535,87,71,89.8,53.72,79,71.76
Summer,06/21/14,Willkie,10938.80251,200,852,23.5%,325344,0.033622266,54.69401256,89,67.91,93.2,37.09,78.455,65.145
